name,countries,categories,currency,denominations,discount,expiry,url
"lastminute.com Italy Travel Gift Card","IT","","EUR","10; 25; 50; 100; 250; 500; 1000; 2000; 3000; 4000",2.35,"12 months from activation date","https://assets.tillo.io/images/brands/vouchers/330x214/last-minute-it.jpg"
"DERTOUR Reisebüro Germany","DE","craft; travel-and-leisure","EUR","15; 25; 50; 100; 150",5,"30 months","https://assets.tillo.io/images/brands/vouchers/330x214/dertour-reiseburo-de.jpg"
"The Vegan Gift Card","GB","fashion; food-and-drink; home; other","GBP","10; 25; 50; 100; 250",6,"18 months after date of purchase","https://assets.tillo.io/images/brands/vouchers/330x214/the-vegan-gift-card-uk.jpg"
"fitnessRAUM.de Germany","DE","sports","EUR","10; 25; 50; 75",14,"2 years","https://assets.tillo.io/images/brands/vouchers/330x214/fitnessraum-de.jpg"
"HelloFresh Germany","DE","food-and-drink; sports","EUR","10; 15; 25; 50; 100; 150",9,"30 months","https://assets.tillo.io/images/brands/vouchers/330x214/hellofresh-de.jpg"
"Herrenausstatter.de Germany","DE","fashion; jewellery","EUR","10; 15; 25; 50; 100",7,"30 months","https://assets.tillo.io/images/brands/vouchers/330x214/herrenausstatter-de.jpg"
"SportPlus Germany","DE","sports","EUR","25; 50; 100",9,"30 months","https://assets.tillo.io/images/brands/vouchers/330x214/sportplus-de.jpg"
"Butlins by Inspire","GB","travel-and-leisure","GBP","10; 25; 50; 100; 250; 500; 1000; 2000; 3000",6,"18 months from date of issue","https://assets.tillo.io/images/brands/vouchers/330x214/inspire-butlins.jpg"
"Rituals Italy","IT","beauty; home","EUR","10; 25; 50; 100",10,"No expiry","https://assets.tillo.io/images/brands/vouchers/330x214/rituals-it.jpg"
"MANGO France","FR","fashion","EUR","25; 50",9,"2 years","https://assets.tillo.io/images/brands/vouchers/330x214/mango-fr.jpg"
"Dagje uit Cadeaukaart Europe","NL","sports; travel-and-leisure","EUR","10; 25; 50; 100",14,"2 Years","https://assets.tillo.io/images/brands/vouchers/330x214/dagje-uit-cadeaukaart-eur.jpg"
"Decathlon","GB","fashion; sports","GBP","10; 25; 50; 100; 250",6,"2 years from activation","https://assets.tillo.io/images/brands/vouchers/330x214/decathlon.jpg"
"RentacarGift EU","AT; BE; FI; FR; IT; NL; ES","cars","EUR","50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000",7.5,"12 months from activation or last use","https://assets.tillo.io/images/brands/vouchers/330x214/rentacargift-eu.jpg"
"Azteco Bitcoin Voucher - Lightning EUR","IE; AT; BE; CY; CZ; DK; EE; FI; FR; DE; GR; HU; IT; LV; LT; LU; MT; NL; PL; PT; RO; SK; SI; ES; SE","cryptocurrency","EUR","10; 25; 50; 100; 250; 500",7,"30 days from issue","https://assets.tillo.io/images/brands/vouchers/330x214/azteco-eur.jpg"
"Travelgift","GB","travel-and-leisure","GBP","10; 25; 50; 100; 250; 500; 1000",5,"24 months from purchase","https://assets.tillo.io/images/brands/vouchers/330x214/gift-cards-four-travel.jpg"
